input,decision
"My parents trust government jobs more, and now I feel confused between private placement and UPSC preparation. Time is moving fast and I feel pressured. I feel I must choose carefully this time.",Government Exam Path
"Sometimes I think private jobs are faster, but my family keeps reminding me about the long-term safety of government work. I need clarity before making the wrong move. I want a decision that is realistic, not emotional.",Government Exam Path
"My family depends on me financially and even though I care about higher studies, earning now feels more responsible. Time is moving fast and I feel pressured. Sometimes I overthink this at night.",Job First (Financial Stability)
"I do not have clarity about my strengths, so choosing a long-term career path feels very difficult. This keeps bothering me every day. My family keeps asking what I will do next.",Career Guidance Needed
"Because of emotional pressure at home and personal stress, I feel lost even though opportunities are there. I feel stuck between responsibility and ambition. I want a decision that is realistic, not emotional.",Emotional Counseling Needed
There is loan pressure at home and I feel guilty spending more years studying without supporting my parents. This affects both my confidence and planning. Seeing others move ahead increases the pressure.,Job First (Financial Stability)
"After my breakup, I cannot focus on studies or placements and every career decision feels emotionally heavy. I do not want to regret my decision later. My family keeps asking what I will do next.",Emotional Counseling Needed
"I want specialization first because I believe advanced education will open much better opportunities in the future. I want practical advice, not just motivation. Sometimes I overthink this at night.",Higher Studies First
"My parents trust government jobs more, and now I feel confused between private placement and UPSC preparation. This keeps bothering me every day. I want a decision that is realistic, not emotional.",Government Exam Path
"Working while preparing for CAT seems difficult, but choosing only one path feels even riskier. This affects both my confidence and planning. Seeing others move ahead increases the pressure.",Balanced Job + Study Plan
"Some days I feel job is better, other days I think higher studies or government exams make more sense, and I feel lost. I need clarity before making the wrong move. My family keeps asking what I will do next.",Career Guidance Needed
I want to prepare for CAT seriously because I do not want to settle too early with limited opportunities. I do not want to regret my decision later. Seeing others move ahead increases the pressure.,Higher Studies First
"My family wants quick results, but rushing into placements without preparation feels risky to me. Family expectations make this harder. Seeing others move ahead increases the pressure.",Skill Development First
I need to improve technical skills first because right now I do not trust my own placement readiness. I feel stuck between responsibility and ambition. Sometimes I overthink this at night.,Skill Development First
I keep changing my decision every week and that makes me feel like I have no real direction. I do not want to regret my decision later. My family keeps asking what I will do next.,Career Guidance Needed
"My parents trust government jobs more, and now I feel confused between private placement and UPSC preparation. I do not want to regret my decision later. I feel I must choose carefully this time.",Government Exam Path
"Even with some financial pressure, I feel investing in higher education now may help my family more later. I feel stuck between responsibility and ambition. Sometimes I overthink this at night.",Higher Studies First
"Because of medical expenses at home, I feel I should start working instead of waiting for higher studies. Time is moving fast and I feel pressured. Seeing others move ahead increases the pressure.",Job First (Financial Stability)
I want to prepare for CAT seriously because I do not want to settle too early with limited opportunities. I need clarity before making the wrong move. Seeing others move ahead increases the pressure.,Higher Studies First
"I am stuck between campus placement and SSC preparation because stability matters a lot at home. This affects both my confidence and planning. I want a decision that is realistic, not emotional.",Government Exam Path
"I want specialization first because I believe advanced education will open much better opportunities in the future. This keeps bothering me every day. I want a decision that is realistic, not emotional.",Higher Studies First
"After my breakup, I cannot focus on studies or placements and every career decision feels emotionally heavy. Family expectations make this harder. Sometimes I overthink this at night.",Emotional Counseling Needed
"I wanted to prepare for MBA, but after my father lost his job, I feel taking a job first is the practical choice. Time is moving fast and I feel pressured. I want a decision that is realistic, not emotional.",Job First (Financial Stability)
"I dream of doing masters, but right now my family needs income more than my academic plans. I feel stuck between responsibility and ambition. I want a decision that is realistic, not emotional.",Job First (Financial Stability)
Everyone gives different advice and I no longer know which career path actually fits me. Family expectations make this harder. My family keeps asking what I will do next.,Career Guidance Needed
"I am confused between business, job, and studies because every option looks both good and risky. Time is moving fast and I feel pressured. Sometimes I overthink this at night.",Career Guidance Needed
"Taking a small job feels safe, but I think MTech will create stronger long-term growth for my career. This keeps bothering me every day. I want a decision that is realistic, not emotional.",Higher Studies First
A balanced path feels practical because I need income now and career growth later. I do not want to regret my decision later. I feel I must choose carefully this time.,Balanced Job + Study Plan
"I do not want to regret ignoring studies or ignoring money, so I am trying to manage both together. I need clarity before making the wrong move. Sometimes I overthink this at night.",Balanced Job + Study Plan
"Sometimes I think private jobs are faster, but my family keeps reminding me about the long-term safety of government work. I do not want to regret my decision later. Seeing others move ahead increases the pressure.",Government Exam Path
"I wanted to prepare for MBA, but after my father lost his job, I feel taking a job first is the practical choice. I need clarity before making the wrong move. Seeing others move ahead increases the pressure.",Job First (Financial Stability)
I feel mentally exhausted and even simple future planning feels impossible because of constant anxiety. I need clarity before making the wrong move. My family keeps asking what I will do next.,Emotional Counseling Needed
I want specialization first because I believe advanced education will open much better opportunities in the future. I do not want to regret my decision later. Sometimes I overthink this at night.,Higher Studies First
"Because of emotional pressure at home and personal stress, I feel lost even though opportunities are there. I do not want to regret my decision later. Seeing others move ahead increases the pressure.",Emotional Counseling Needed
"I want financial stability now, but I also do not want to leave my MBA dream, so balancing both feels right. This affects both my confidence and planning. I want a decision that is realistic, not emotional.",Balanced Job + Study Plan
"After my breakup, I cannot focus on studies or placements and every career decision feels emotionally heavy. Time is moving fast and I feel pressured. I want a decision that is realistic, not emotional.",Emotional Counseling Needed
"I am confused between business, job, and studies because every option looks both good and risky. Time is moving fast and I feel pressured. I feel I must choose carefully this time.",Career Guidance Needed
"I know my family wants me to start earning, but I strongly believe MBA will improve my future more than a small job now. This affects both my confidence and planning. Sometimes I overthink this at night.",Higher Studies First
"After my breakup, I cannot focus on studies or placements and every career decision feels emotionally heavy. Time is moving fast and I feel pressured. My family keeps asking what I will do next.",Emotional Counseling Needed
"I keep failing interviews because of low confidence and communication issues, so I feel skill building should come first. I want practical advice, not just motivation. Sometimes I overthink this at night.",Skill Development First
"Taking a small job feels safe, but I think MTech will create stronger long-term growth for my career. This keeps bothering me every day. I feel I must choose carefully this time.",Higher Studies First
I keep changing my decision every week and that makes me feel like I have no real direction. I feel stuck between responsibility and ambition. I feel I must choose carefully this time.,Career Guidance Needed
"Because of medical expenses at home, I feel I should start working instead of waiting for higher studies. I feel stuck between responsibility and ambition. Seeing others move ahead increases the pressure.",Job First (Financial Stability)
I need to improve technical skills first because right now I do not trust my own placement readiness. This keeps bothering me every day. I feel I must choose carefully this time.,Skill Development First
"I am confused between business, job, and studies because every option looks both good and risky. This affects both my confidence and planning. Sometimes I overthink this at night.",Career Guidance Needed
"My family wants quick results, but rushing into placements without preparation feels risky to me. I do not want to regret my decision later. Sometimes I overthink this at night.",Skill Development First
"After my breakup, I cannot focus on studies or placements and every career decision feels emotionally heavy. This affects both my confidence and planning. I feel I must choose carefully this time.",Emotional Counseling Needed
"I do not have clarity about my strengths, so choosing a long-term career path feels very difficult. This affects both my confidence and planning. My family keeps asking what I will do next.",Career Guidance Needed
"Sometimes I think private jobs are faster, but my family keeps reminding me about the long-term safety of government work. This keeps bothering me every day. Seeing others move ahead increases the pressure.",Government Exam Path
I feel mentally exhausted and even simple future planning feels impossible because of constant anxiety. Time is moving fast and I feel pressured. I feel I must choose carefully this time.,Emotional Counseling Needed
"I see my friends getting placed, but honestly my coding skills are still weak and I do not feel ready yet. I do not want to regret my decision later. Sometimes I overthink this at night.",Skill Development First
I need to improve technical skills first because right now I do not trust my own placement readiness. I need clarity before making the wrong move. My family keeps asking what I will do next.,Skill Development First
"I wanted to prepare for MBA, but after my father lost his job, I feel taking a job first is the practical choice. I want practical advice, not just motivation. I want a decision that is realistic, not emotional.",Job First (Financial Stability)
"I think a job plus part-time study plan can help me support my family and still protect my future goals. I want practical advice, not just motivation. I want a decision that is realistic, not emotional.",Balanced Job + Study Plan
"My parents trust government jobs more, and now I feel confused between private placement and UPSC preparation. I do not want to regret my decision later. My family keeps asking what I will do next.",Government Exam Path
A balanced path feels practical because I need income now and career growth later. This keeps bothering me every day. My family keeps asking what I will do next.,Balanced Job + Study Plan
"Taking a small job feels safe, but I think MTech will create stronger long-term growth for my career. This affects both my confidence and planning. My family keeps asking what I will do next.",Higher Studies First
"I see my friends getting placed, but honestly my coding skills are still weak and I do not feel ready yet. Time is moving fast and I feel pressured. I want a decision that is realistic, not emotional.",Skill Development First
"I see my friends getting placed, but honestly my coding skills are still weak and I do not feel ready yet. This affects both my confidence and planning. My family keeps asking what I will do next.",Skill Development First
"Some days I feel job is better, other days I think higher studies or government exams make more sense, and I feel lost. Time is moving fast and I feel pressured. I feel I must choose carefully this time.",Career Guidance Needed
"I keep failing interviews because of low confidence and communication issues, so I feel skill building should come first. This keeps bothering me every day. Sometimes I overthink this at night.",Skill Development First
I am stuck between campus placement and SSC preparation because stability matters a lot at home. I feel stuck between responsibility and ambition. My family keeps asking what I will do next.,Government Exam Path
"Even with some financial pressure, I feel investing in higher education now may help my family more later. I do not want to regret my decision later. Seeing others move ahead increases the pressure.",Higher Studies First
"Banking exams feel like a stable option, but everyone around me is joining private companies quickly. I do not want to regret my decision later. I feel I must choose carefully this time.",Government Exam Path
"I wanted to prepare for MBA, but after my father lost his job, I feel taking a job first is the practical choice. I need clarity before making the wrong move. I feel I must choose carefully this time.",Job First (Financial Stability)
"I am confused between business, job, and studies because every option looks both good and risky. I need clarity before making the wrong move. Seeing others move ahead increases the pressure.",Career Guidance Needed
"Because of emotional pressure at home and personal stress, I feel lost even though opportunities are there. Time is moving fast and I feel pressured. I want a decision that is realistic, not emotional.",Emotional Counseling Needed
"I am stuck between campus placement and SSC preparation because stability matters a lot at home. Time is moving fast and I feel pressured. I want a decision that is realistic, not emotional.",Government Exam Path
"Working while preparing for CAT seems difficult, but choosing only one path feels even riskier. I need clarity before making the wrong move. My family keeps asking what I will do next.",Balanced Job + Study Plan
"Because of medical expenses at home, I feel I should start working instead of waiting for higher studies. This affects both my confidence and planning. Seeing others move ahead increases the pressure.",Job First (Financial Stability)
I keep changing my decision every week and that makes me feel like I have no real direction. This affects both my confidence and planning. My family keeps asking what I will do next.,Career Guidance Needed
"I see my friends getting placed, but honestly my coding skills are still weak and I do not feel ready yet. I want practical advice, not just motivation. I feel I must choose carefully this time.",Skill Development First
"I dream of doing masters, but right now my family needs income more than my academic plans. I need clarity before making the wrong move. Sometimes I overthink this at night.",Job First (Financial Stability)
"Sometimes I think private jobs are faster, but my family keeps reminding me about the long-term safety of government work. This keeps bothering me every day. Sometimes I overthink this at night.",Government Exam Path
"Before taking major career decisions, I think I need internships and stronger practical experience first. I need clarity before making the wrong move. My family keeps asking what I will do next.",Skill Development First
I think a job plus part-time study plan can help me support my family and still protect my future goals. This keeps bothering me every day. Sometimes I overthink this at night.,Balanced Job + Study Plan
"I keep failing interviews because of low confidence and communication issues, so I feel skill building should come first. Family expectations make this harder. My family keeps asking what I will do next.",Skill Development First
"Some days I feel job is better, other days I think higher studies or government exams make more sense, and I feel lost. Family expectations make this harder. Seeing others move ahead increases the pressure.",Career Guidance Needed
"I dream of doing masters, but right now my family needs income more than my academic plans. Family expectations make this harder. My family keeps asking what I will do next.",Job First (Financial Stability)
"Working while preparing for CAT seems difficult, but choosing only one path feels even riskier. Time is moving fast and I feel pressured. I feel I must choose carefully this time.",Balanced Job + Study Plan
"After my breakup, I cannot focus on studies or placements and every career decision feels emotionally heavy. I need clarity before making the wrong move. I feel I must choose carefully this time.",Emotional Counseling Needed
"Some days I feel job is better, other days I think higher studies or government exams make more sense, and I feel lost. This keeps bothering me every day. Sometimes I overthink this at night.",Career Guidance Needed
"I keep failing interviews because of low confidence and communication issues, so I feel skill building should come first. Time is moving fast and I feel pressured. Seeing others move ahead increases the pressure.",Skill Development First
"Sometimes I think private jobs are faster, but my family keeps reminding me about the long-term safety of government work. This affects both my confidence and planning. Seeing others move ahead increases the pressure.",Government Exam Path
"Because of emotional pressure at home and personal stress, I feel lost even though opportunities are there. I want practical advice, not just motivation. Sometimes I overthink this at night.",Emotional Counseling Needed
Everyone gives different advice and I no longer know which career path actually fits me. Family expectations make this harder. Seeing others move ahead increases the pressure.,Career Guidance Needed
"After my breakup, I cannot focus on studies or placements and every career decision feels emotionally heavy. I need clarity before making the wrong move. I want a decision that is realistic, not emotional.",Emotional Counseling Needed
I feel mentally exhausted and even simple future planning feels impossible because of constant anxiety. I do not want to regret my decision later. I feel I must choose carefully this time.,Emotional Counseling Needed
"I dream of doing masters, but right now my family needs income more than my academic plans. I do not want to regret my decision later. Seeing others move ahead increases the pressure.",Job First (Financial Stability)
I want to prepare for CAT seriously because I do not want to settle too early with limited opportunities. Time is moving fast and I feel pressured. I feel I must choose carefully this time.,Higher Studies First
"I know my family wants me to start earning, but I strongly believe MBA will improve my future more than a small job now. Family expectations make this harder. I want a decision that is realistic, not emotional.",Higher Studies First
"My parents trust government jobs more, and now I feel confused between private placement and UPSC preparation. I want practical advice, not just motivation. Seeing others move ahead increases the pressure.",Government Exam Path
"I wanted to prepare for MBA, but after my father lost his job, I feel taking a job first is the practical choice. Time is moving fast and I feel pressured. Seeing others move ahead increases the pressure.",Job First (Financial Stability)
"I want financial stability now, but I also do not want to leave my MBA dream, so balancing both feels right. I do not want to regret my decision later. My family keeps asking what I will do next.",Balanced Job + Study Plan
There is loan pressure at home and I feel guilty spending more years studying without supporting my parents. I need clarity before making the wrong move. Sometimes I overthink this at night.,Job First (Financial Stability)
"My parents trust government jobs more, and now I feel confused between private placement and UPSC preparation. I do not want to regret my decision later. Seeing others move ahead increases the pressure.",Government Exam Path
"Sometimes I think private jobs are faster, but my family keeps reminding me about the long-term safety of government work. This affects both my confidence and planning. Sometimes I overthink this at night.",Government Exam Path
"I do not want to regret ignoring studies or ignoring money, so I am trying to manage both together. Time is moving fast and I feel pressured. My family keeps asking what I will do next.",Balanced Job + Study Plan
"Taking a small job feels safe, but I think MTech will create stronger long-term growth for my career. I need clarity before making the wrong move. I want a decision that is realistic, not emotional.",Higher Studies First
"Because of emotional pressure at home and personal stress, I feel lost even though opportunities are there. Family expectations make this harder. My family keeps asking what I will do next.",Emotional Counseling Needed
I am stuck between campus placement and SSC preparation because stability matters a lot at home. Time is moving fast and I feel pressured. I feel I must choose carefully this time.,Government Exam Path
I need to improve technical skills first because right now I do not trust my own placement readiness. Time is moving fast and I feel pressured. My family keeps asking what I will do next.,Skill Development First
"Some days I feel job is better, other days I think higher studies or government exams make more sense, and I feel lost. This affects both my confidence and planning. Sometimes I overthink this at night.",Career Guidance Needed
"After my breakup, I cannot focus on studies or placements and every career decision feels emotionally heavy. I need clarity before making the wrong move. Seeing others move ahead increases the pressure.",Emotional Counseling Needed
"Sometimes I think private jobs are faster, but my family keeps reminding me about the long-term safety of government work. I feel stuck between responsibility and ambition. My family keeps asking what I will do next.",Government Exam Path
I keep changing my decision every week and that makes me feel like I have no real direction. I need clarity before making the wrong move. My family keeps asking what I will do next.,Career Guidance Needed
"I keep failing interviews because of low confidence and communication issues, so I feel skill building should come first. This keeps bothering me every day. Seeing others move ahead increases the pressure.",Skill Development First
"I keep failing interviews because of low confidence and communication issues, so I feel skill building should come first. Family expectations make this harder. Sometimes I overthink this at night.",Skill Development First
I think a job plus part-time study plan can help me support my family and still protect my future goals. I feel stuck between responsibility and ambition. Sometimes I overthink this at night.,Balanced Job + Study Plan
"Some days I feel job is better, other days I think higher studies or government exams make more sense, and I feel lost. I do not want to regret my decision later. I feel I must choose carefully this time.",Career Guidance Needed
I think a job plus part-time study plan can help me support my family and still protect my future goals. Family expectations make this harder. Seeing others move ahead increases the pressure.,Balanced Job + Study Plan
"I am confused between business, job, and studies because every option looks both good and risky. This keeps bothering me every day. Seeing others move ahead increases the pressure.",Career Guidance Needed
"My family depends on me financially and even though I care about higher studies, earning now feels more responsible. This affects both my confidence and planning. I feel I must choose carefully this time.",Job First (Financial Stability)
"I do not want to regret ignoring studies or ignoring money, so I am trying to manage both together. I want practical advice, not just motivation. I feel I must choose carefully this time.",Balanced Job + Study Plan
I feel mentally exhausted and even simple future planning feels impossible because of constant anxiety. This keeps bothering me every day. Seeing others move ahead increases the pressure.,Emotional Counseling Needed
"I want specialization first because I believe advanced education will open much better opportunities in the future. I want practical advice, not just motivation. Seeing others move ahead increases the pressure.",Higher Studies First
"I feel mentally exhausted and even simple future planning feels impossible because of constant anxiety. I need clarity before making the wrong move. I want a decision that is realistic, not emotional.",Emotional Counseling Needed
I want specialization first because I believe advanced education will open much better opportunities in the future. Time is moving fast and I feel pressured. Sometimes I overthink this at night.,Higher Studies First
"I am confused between business, job, and studies because every option looks both good and risky. I need clarity before making the wrong move. I want a decision that is realistic, not emotional.",Career Guidance Needed
There is loan pressure at home and I feel guilty spending more years studying without supporting my parents. Family expectations make this harder. Sometimes I overthink this at night.,Job First (Financial Stability)
I am stuck between campus placement and SSC preparation because stability matters a lot at home. This keeps bothering me every day. I feel I must choose carefully this time.,Government Exam Path
"Taking a small job feels safe, but I think MTech will create stronger long-term growth for my career. I feel stuck between responsibility and ambition. Sometimes I overthink this at night.",Higher Studies First
"My family wants quick results, but rushing into placements without preparation feels risky to me. This affects both my confidence and planning. I want a decision that is realistic, not emotional.",Skill Development First
"Before taking major career decisions, I think I need internships and stronger practical experience first. I feel stuck between responsibility and ambition. Seeing others move ahead increases the pressure.",Skill Development First
I keep changing my decision every week and that makes me feel like I have no real direction. Time is moving fast and I feel pressured. My family keeps asking what I will do next.,Career Guidance Needed
"I am confused between business, job, and studies because every option looks both good and risky. I feel stuck between responsibility and ambition. Seeing others move ahead increases the pressure.",Career Guidance Needed
"I know I should decide my next step, but right now my mental state feels too unstable for big decisions. This affects both my confidence and planning. Sometimes I overthink this at night.",Emotional Counseling Needed
"Working while preparing for CAT seems difficult, but choosing only one path feels even riskier. This affects both my confidence and planning. I feel I must choose carefully this time.",Balanced Job + Study Plan
"I know my family wants me to start earning, but I strongly believe MBA will improve my future more than a small job now. I do not want to regret my decision later. Seeing others move ahead increases the pressure.",Higher Studies First
"Because of medical expenses at home, I feel I should start working instead of waiting for higher studies. I do not want to regret my decision later. Seeing others move ahead increases the pressure.",Job First (Financial Stability)
"I feel mentally exhausted and even simple future planning feels impossible because of constant anxiety. This affects both my confidence and planning. I want a decision that is realistic, not emotional.",Emotional Counseling Needed
"Because of medical expenses at home, I feel I should start working instead of waiting for higher studies. This keeps bothering me every day. Seeing others move ahead increases the pressure.",Job First (Financial Stability)
"Working while preparing for CAT seems difficult, but choosing only one path feels even riskier. Family expectations make this harder. Seeing others move ahead increases the pressure.",Balanced Job + Study Plan
"I see my friends getting placed, but honestly my coding skills are still weak and I do not feel ready yet. Family expectations make this harder. I want a decision that is realistic, not emotional.",Skill Development First
"My parents trust government jobs more, and now I feel confused between private placement and UPSC preparation. Family expectations make this harder. I want a decision that is realistic, not emotional.",Government Exam Path
"My family wants quick results, but rushing into placements without preparation feels risky to me. I want practical advice, not just motivation. My family keeps asking what I will do next.",Skill Development First
"My family depends on me financially and even though I care about higher studies, earning now feels more responsible. I want practical advice, not just motivation. I want a decision that is realistic, not emotional.",Job First (Financial Stability)
"I know my family wants me to start earning, but I strongly believe MBA will improve my future more than a small job now. I feel stuck between responsibility and ambition. Seeing others move ahead increases the pressure.",Higher Studies First
"I need to improve technical skills first because right now I do not trust my own placement readiness. I want practical advice, not just motivation. Seeing others move ahead increases the pressure.",Skill Development First
"I am confused between business, job, and studies because every option looks both good and risky. I need clarity before making the wrong move. My family keeps asking what I will do next.",Career Guidance Needed
Everyone gives different advice and I no longer know which career path actually fits me. I feel stuck between responsibility and ambition. Seeing others move ahead increases the pressure.,Career Guidance Needed
"Before taking major career decisions, I think I need internships and stronger practical experience first. I need clarity before making the wrong move. I feel I must choose carefully this time.",Skill Development First
"I know I should decide my next step, but right now my mental state feels too unstable for big decisions. This keeps bothering me every day. My family keeps asking what I will do next.",Emotional Counseling Needed
I want to prepare for CAT seriously because I do not want to settle too early with limited opportunities. I feel stuck between responsibility and ambition. Sometimes I overthink this at night.,Higher Studies First
"Sometimes I think private jobs are faster, but my family keeps reminding me about the long-term safety of government work. I want practical advice, not just motivation. I feel I must choose carefully this time.",Government Exam Path
"Sometimes I think private jobs are faster, but my family keeps reminding me about the long-term safety of government work. I need clarity before making the wrong move. My family keeps asking what I will do next.",Government Exam Path
"I know my family wants me to start earning, but I strongly believe MBA will improve my future more than a small job now. I want practical advice, not just motivation. Sometimes I overthink this at night.",Higher Studies First
"I do not want to regret ignoring studies or ignoring money, so I am trying to manage both together. I do not want to regret my decision later. I feel I must choose carefully this time.",Balanced Job + Study Plan
"I want specialization first because I believe advanced education will open much better opportunities in the future. This affects both my confidence and planning. I want a decision that is realistic, not emotional.",Higher Studies First
Everyone gives different advice and I no longer know which career path actually fits me. I feel stuck between responsibility and ambition. Sometimes I overthink this at night.,Career Guidance Needed
Burnout and emotional stress are affecting my confidence so much that I cannot think clearly about my career. Family expectations make this harder. Sometimes I overthink this at night.,Emotional Counseling Needed
Everyone gives different advice and I no longer know which career path actually fits me. Family expectations make this harder. I feel I must choose carefully this time.,Career Guidance Needed
Burnout and emotional stress are affecting my confidence so much that I cannot think clearly about my career. Family expectations make this harder. Seeing others move ahead increases the pressure.,Emotional Counseling Needed
"Because of medical expenses at home, I feel I should start working instead of waiting for higher studies. I do not want to regret my decision later. I want a decision that is realistic, not emotional.",Job First (Financial Stability)
I feel mentally exhausted and even simple future planning feels impossible because of constant anxiety. Family expectations make this harder. I feel I must choose carefully this time.,Emotional Counseling Needed
I need to improve technical skills first because right now I do not trust my own placement readiness. I need clarity before making the wrong move. Seeing others move ahead increases the pressure.,Skill Development First
"A balanced path feels practical because I need income now and career growth later. Family expectations make this harder. I want a decision that is realistic, not emotional.",Balanced Job + Study Plan
"Because of medical expenses at home, I feel I should start working instead of waiting for higher studies. I need clarity before making the wrong move. Sometimes I overthink this at night.",Job First (Financial Stability)
"I keep changing my decision every week and that makes me feel like I have no real direction. I want practical advice, not just motivation. I want a decision that is realistic, not emotional.",Career Guidance Needed
"Everyone gives different advice and I no longer know which career path actually fits me. I do not want to regret my decision later. I want a decision that is realistic, not emotional.",Career Guidance Needed
"Before taking major career decisions, I think I need internships and stronger practical experience first. I do not want to regret my decision later. I feel I must choose carefully this time.",Skill Development First
"My parents trust government jobs more, and now I feel confused between private placement and UPSC preparation. This keeps bothering me every day. Sometimes I overthink this at night.",Government Exam Path
"I see my friends getting placed, but honestly my coding skills are still weak and I do not feel ready yet. Time is moving fast and I feel pressured. I feel I must choose carefully this time.",Skill Development First
"Burnout and emotional stress are affecting my confidence so much that I cannot think clearly about my career. This keeps bothering me every day. I want a decision that is realistic, not emotional.",Emotional Counseling Needed
"My parents trust government jobs more, and now I feel confused between private placement and UPSC preparation. I feel stuck between responsibility and ambition. I want a decision that is realistic, not emotional.",Government Exam Path
"Sometimes I think private jobs are faster, but my family keeps reminding me about the long-term safety of government work. Time is moving fast and I feel pressured. My family keeps asking what I will do next.",Government Exam Path
"I want financial stability now, but I also do not want to leave my MBA dream, so balancing both feels right. This keeps bothering me every day. Seeing others move ahead increases the pressure.",Balanced Job + Study Plan
"Sometimes I think private jobs are faster, but my family keeps reminding me about the long-term safety of government work. I do not want to regret my decision later. My family keeps asking what I will do next.",Government Exam Path
I need to improve technical skills first because right now I do not trust my own placement readiness. This affects both my confidence and planning. Sometimes I overthink this at night.,Skill Development First
"Some days I feel job is better, other days I think higher studies or government exams make more sense, and I feel lost. Time is moving fast and I feel pressured. Seeing others move ahead increases the pressure.",Career Guidance Needed
"I need to improve technical skills first because right now I do not trust my own placement readiness. This keeps bothering me every day. I want a decision that is realistic, not emotional.",Skill Development First
"I dream of doing masters, but right now my family needs income more than my academic plans. This affects both my confidence and planning. Sometimes I overthink this at night.",Job First (Financial Stability)
"My family wants quick results, but rushing into placements without preparation feels risky to me. This affects both my confidence and planning. My family keeps asking what I will do next.",Skill Development First
"I think a job plus part-time study plan can help me support my family and still protect my future goals. I want practical advice, not just motivation. Seeing others move ahead increases the pressure.",Balanced Job + Study Plan
"Because of medical expenses at home, I feel I should start working instead of waiting for higher studies. This keeps bothering me every day. I want a decision that is realistic, not emotional.",Job First (Financial Stability)
"My family wants quick results, but rushing into placements without preparation feels risky to me. I want practical advice, not just motivation. I feel I must choose carefully this time.",Skill Development First
"I see my friends getting placed, but honestly my coding skills are still weak and I do not feel ready yet. This keeps bothering me every day. I feel I must choose carefully this time.",Skill Development First
"Taking a small job feels safe, but I think MTech will create stronger long-term growth for my career. Time is moving fast and I feel pressured. Seeing others move ahead increases the pressure.",Higher Studies First
"I know my family wants me to start earning, but I strongly believe MBA will improve my future more than a small job now. This affects both my confidence and planning. I feel I must choose carefully this time.",Higher Studies First
"Before taking major career decisions, I think I need internships and stronger practical experience first. I want practical advice, not just motivation. Seeing others move ahead increases the pressure.",Skill Development First
"I do not want to regret ignoring studies or ignoring money, so I am trying to manage both together. Time is moving fast and I feel pressured. I feel I must choose carefully this time.",Balanced Job + Study Plan
"I want financial stability now, but I also do not want to leave my MBA dream, so balancing both feels right. Family expectations make this harder. My family keeps asking what I will do next.",Balanced Job + Study Plan
"I do not want to regret ignoring studies or ignoring money, so I am trying to manage both together. I want practical advice, not just motivation. Seeing others move ahead increases the pressure.",Balanced Job + Study Plan
"Because of medical expenses at home, I feel I should start working instead of waiting for higher studies. I want practical advice, not just motivation. Seeing others move ahead increases the pressure.",Job First (Financial Stability)
"I do not have clarity about my strengths, so choosing a long-term career path feels very difficult. Family expectations make this harder. I feel I must choose carefully this time.",Career Guidance Needed
"Working while preparing for CAT seems difficult, but choosing only one path feels even riskier. I want practical advice, not just motivation. Sometimes I overthink this at night.",Balanced Job + Study Plan
A balanced path feels practical because I need income now and career growth later. Time is moving fast and I feel pressured. Seeing others move ahead increases the pressure.,Balanced Job + Study Plan
"I keep failing interviews because of low confidence and communication issues, so I feel skill building should come first. I need clarity before making the wrong move. My family keeps asking what I will do next.",Skill Development First
"I wanted to prepare for MBA, but after my father lost his job, I feel taking a job first is the practical choice. Family expectations make this harder. My family keeps asking what I will do next.",Job First (Financial Stability)
"Burnout and emotional stress are affecting my confidence so much that I cannot think clearly about my career. I do not want to regret my decision later. I want a decision that is realistic, not emotional.",Emotional Counseling Needed
"I know my family wants me to start earning, but I strongly believe MBA will improve my future more than a small job now. This affects both my confidence and planning. My family keeps asking what I will do next.",Higher Studies First
"Because of emotional pressure at home and personal stress, I feel lost even though opportunities are there. This affects both my confidence and planning. My family keeps asking what I will do next.",Emotional Counseling Needed
"I am confused between business, job, and studies because every option looks both good and risky. I need clarity before making the wrong move. Sometimes I overthink this at night.",Career Guidance Needed
"I want job security more than fast money, so government exam preparation keeps pulling me strongly. I do not want to regret my decision later. Seeing others move ahead increases the pressure.",Government Exam Path
I feel mentally exhausted and even simple future planning feels impossible because of constant anxiety. I feel stuck between responsibility and ambition. I feel I must choose carefully this time.,Emotional Counseling Needed
I think a job plus part-time study plan can help me support my family and still protect my future goals. Time is moving fast and I feel pressured. Sometimes I overthink this at night.,Balanced Job + Study Plan
"I am confused between business, job, and studies because every option looks both good and risky. This affects both my confidence and planning. I feel I must choose carefully this time.",Career Guidance Needed
"Taking a small job feels safe, but I think MTech will create stronger long-term growth for my career. Family expectations make this harder. My family keeps asking what I will do next.",Higher Studies First
"Because of emotional pressure at home and personal stress, I feel lost even though opportunities are there. This keeps bothering me every day. My family keeps asking what I will do next.",Emotional Counseling Needed
I want to prepare for CAT seriously because I do not want to settle too early with limited opportunities. I feel stuck between responsibility and ambition. Seeing others move ahead increases the pressure.,Higher Studies First
"My family depends on me financially and even though I care about higher studies, earning now feels more responsible. Time is moving fast and I feel pressured. I feel I must choose carefully this time.",Job First (Financial Stability)
I am stuck between campus placement and SSC preparation because stability matters a lot at home. I do not want to regret my decision later. Sometimes I overthink this at night.,Government Exam Path
"Because of medical expenses at home, I feel I should start working instead of waiting for higher studies. This affects both my confidence and planning. Sometimes I overthink this at night.",Job First (Financial Stability)
"I know I should decide my next step, but right now my mental state feels too unstable for big decisions. This affects both my confidence and planning. I feel I must choose carefully this time.",Emotional Counseling Needed
